code,name,brand,category
"13522060","BONO Biscoito Recheado Mrg 66x90g N1 BR","BONO","BISCOITOS"
"13522062","BONO Biscoito Recheado Ddl 66x90g N1 BR","BONO","BISCOITOS"
"13612736","BONO Mini Biscoito Rech Mrg 60x24g BR","BONO","BISCOITOS"
"13612737","BONO Mini Biscoito Rech Choc 60x24g BR","BONO","BISCOITOS"
"14131309","BTN Tablete Rech 4(14x90g) BR","BTN","GAROTO"
"14513277","BTN ChocoStick Caribe 12(12x24g) BR","BTN","GAROTO"
"14513949","BTN ChocoStick TriploChoc 12(12x26g)BR","BTN","GAROTO"
"14513974","BTN ChocoStickCookies&Cream 12(12x26g)BR","BTN","GAROTO"
"12612894","CHARGE Biscoito Recheado 70x130g BR","CHARGE","BISCOITOS"
"13991250","ESPD Bombons Sortidos Caixa 30x220g BR","ESPD","CHOCOLATES NESTLE"
"13754078","FRSK Filhotes Frango 9x850g BR","FRSK","PREMIUM DRY CAT"
"13754108","FRSK Mar de Sabores 9x850g BR","FRSK","PREMIUM DRY CAT"
"13759759","FRSK Delicias da Granja Frango 9x850g BR","FRSK","PREMIUM DRY CAT"
"13760033","FRSK Mix Carne Castrados 9x850g BR","FRSK","PREMIUM DRY CAT"
"13864756","GLK Tablete Recheado 4(14x90g) BR","GLK","CHOCOLATES NESTLE"
"14106543","GRT Tablete Rech Crocante 4(14x90g) N1BR","GRT","GAROTO"
"14476614","GRT Tablete Pe de Moleque 4(16x80g) BR","GRT","GAROTO"
"12941325","KIT KAT 4Fngr Cereja 4(24x41,5g) BR","KIT","CHOCOLATES"
"13837465","KK 4Fngr Tutti Frutti 4(24x41,5g) BR","KK","CHOCOLATES NESTLE"
"13837609","KK 4Fngr Dark ChocMint 4(24x41,5g) BR","KK","CHOCOLATES NESTLE"
"13799711","MAG Tempero Sabor Manteiga 30x110g BR","MAG","MAGGI"
"13800870","MAG Tempero Lemmon Pepper 30x110g BR","MAG","MAGGI"
"13837463","MAG Tempero Empana LemonPpr 12(9x60g)BR","MAG","MAGGI"
"13837644","MAG Tempero Empana Parmesao12(9x60g)BR","MAG","MAGGI"
"13882992","MAG Macarrao Sabor Bechamel 12(9x65g) BR","MAG","MAGGI"
"13882993","MAG Macarrao Sabor Tomate 12(9x65g) BR","MAG","MAGGI"
"13882994","MAG Macarrao Sab MacN Chse 12(9x65g) BR","MAG","MAGGI"
"12310601","BONZO Adultos Carne e Cereais 18kg BR","MAINSTREAM","BONZO LARGE BAGS"
"12492194","ALPO Adulto Car Frg Cer Veg 18kg BR","MAINSTREAM","ALPO LARGE BAGS"
"12492195","ALPO Adulto Car Frg Cer Veg 10.1kg BR","MAINSTREAM","ALPO LARGE BAGS"
"12571519","GATSY Carne 20kg N1 BR","MAINSTREAM","GATSY DRY LARGE BAGS"
"12581433","MUCILON Mini Biscuits Leite 8(7x30g) BR","MUCILON","CEREAIS INFANTIS"
"12581434","MUCILON Mini Biscuits Maisena 8(7x30g)BR","MUCILON","CEREAIS INFANTIS"
"12581445","MUCILON Mini Biscuits Banana 8(7x30g) BR","MUCILON","CEREAIS INFANTIS"
